timestamp,protocol,download,upload,ping
2016-11-01 00:45:02+01:00,201611.log@3,22470983.68,901775.36,26.372
2016-11-01 01:45:01+01:00,201611.log@7,22628270.08,901775.36,30.311
2016-11-01 02:45:01+01:00,201611.log@11,22376611.84,880803.84,32.218
2016-11-01 03:45:01+01:00,201611.log@15,22491955.2,901775.36,26.105
2016-11-01 04:45:01+01:00,201611.log@19,22250782.72,891289.6,28.699
2016-11-01 05:45:01+01:00,201611.log@23,22502440.96,859832.32,27.36
2016-11-01 06:45:01+01:00,201611.log@27,22470983.68,891289.6,28.75
2016-11-01 07:45:01+01:00,201611.log@31,22292725.76,901775.36,29.68
2016-11-01 08:45:01+01:00,201611.log@35,22439526.4,870318.08,26.37
2016-11-01 09:45:01+01:00,201611.log@39,17207132.16,618659.84,31.728
2016-11-01 10:45:01+01:00,201611.log@43,22565355.52,891289.6,31.394
2016-11-01 11:45:01+01:00,201611.log@47,21422407.68,891289.6,27.155
2016-11-01 12:45:01+01:00,201611.log@51,19922944.0,765460.48,29.287
2016-11-01 13:45:01+01:00,201611.log@55,17060331.52,891289.6,26.363
2016-11-01 14:45:01+01:00,201611.log@59,22345154.56,880803.84,26.829
2016-11-01 15:45:01+01:00,201611.log@63,22429040.64,880803.84,29.483
2016-11-01 16:45:01+01:00,201611.log@67,22470983.68,901775.36,25.802
2016-11-01 17:45:01+01:00,201611.log@71,21862809.6,880803.84,30.918
2016-11-01 18:45:01+01:00,201611.log@75,21537751.04,828375.04,32.306
2016-11-01 19:45:01+01:00,201611.log@79,20258488.32,828375.04,28.347
2016-11-01 20:45:01+01:00,201611.log@83,22062039.04,880803.84,32.499
2016-11-01 21:45:01+01:00,201611.log@87,22470983.68,901775.36,29.012
2016-11-01 22:45:01+01:00,201611.log@91,22282240.0,891289.6,28.657
2016-11-01 23:45:01+01:00,201611.log@95,22470983.68,901775.36,28.148
2016-11-02 00:45:02+01:00,201611.log@99,22439526.4,901775.36,31.38
2016-11-02 01:45:01+01:00,201611.log@103,22345154.56,901775.36,31.195
2016-11-02 02:45:01+01:00,201611.log@107,21978152.96,933232.64,27.973
2016-11-02 03:45:01+01:00,201611.log@111,22659727.36,912261.12,32.381
2016-11-02 04:45:01+01:00,201611.log@115,22617784.32,912261.12,30.267
2016-11-02 05:45:01+01:00,201611.log@119,22502440.96,870318.08,26.411
2016-11-02 06:45:01+01:00,201611.log@123,22481469.44,859832.32,29.953
2016-11-02 07:45:01+01:00,201611.log@127,21716008.96,912261.12,31.815
2016-11-02 08:45:01+01:00,201611.log@131,20489175.04,828375.04,32.961
2016-11-02 09:45:02+01:00,201611.log@135,18905825.28,775946.24,28.098
2016-11-02 10:45:01+01:00,201611.log@139,21065891.84,912261.12,26.825
2016-11-02 11:45:01+01:00,201611.log@143,22470983.68,880803.84,30.893
2016-11-02 12:45:01+01:00,201611.log@147,20719861.76,859832.32,28.984
2016-11-02 13:45:01+01:00,201611.log@151,18140364.8,807403.52,29.914
2016-11-02 14:45:01+01:00,201611.log@155,22502440.96,912261.12,32.128
2016-11-02 15:45:01+01:00,201611.log@159,22638755.84,912261.12,30.154
2016-11-02 16:45:01+01:00,201611.log@163,22250782.72,891289.6,28.237
2016-11-02 17:45:01+01:00,201611.log@167,22156410.88,912261.12,31.849
2016-11-02 18:45:01+01:00,201611.log@171,22502440.96,922746.88,30.279
2016-11-02 19:45:01+01:00,201611.log@175,22418554.88,891289.6,27.874
2016-11-02 20:45:01+01:00,201611.log@179,22470983.68,880803.84,29.685
2016-11-02 21:45:01+01:00,201611.log@183,22649241.6,912261.12,31.498
2016-11-02 22:45:01+01:00,201611.log@187,21663580.16,880803.84,32.419
